id,seq,query,prefix,is_leave_query,input_var,output_var,output_rel,description
1,0,SELECT ?country WHERE {?country rdf:type ?continent.},rdf,0,continent,country,belongs,"Select all countries within a given continent, continent attribute should be assigned to result"
2,1,SELECT ?reserve WHERE {{?reserve dbpedia-owl:country ?country.} UNION {?reserve dbpedia-owl:location ?country.} ?reserve rdf:type dbpedia-owl:ProtectedArea.},dbpedia-owl;rdf,0,country,reserve,belongs,"Select all protected area within a given country, country attribute should be assigned to result"
3,1,SELECT ?residence WHERE {{?residence dbpedia-owl:country ?country.} UNION {?residence dbpedia-owl:location ?country.} ?residence rdf:type dbpedia-owl:PopulatedPlace.},dbpedia-owl;rdf,0,country,residence,belongs,"Select all populated area within a given country, country attribute should be assigned to result"
4,2,SELECT ?city WHERE {?residence dbpedia-owl:locationCity ?city.},dbpedia-owl,0,residence,city,contains,"Select the parent node, a relationship should be build upon result"
5,2,SELECT ?parent WHERE {{?residence dbpedia-owl:isPartOf ?parent.} UNION {?residence dbpedia-owl:location ?parent.}},dbpedia-owl,0,residence,parent,contains,"Select the parent node, a relationship should be build upon result"
6,2,SELECT ?nearest_city WHERE {?reserve dbpedia-owl:nearestCity ?nearest_city.},dbpedia-owl,0,reserve,nearest_city,contains,"Select the parent node, a relationship should be build upon result"
7,2,SELECT ?parent WHERE {{?reserve dbpedia-owl:isPartOf ?parent.} UNION {?reserve dbpedia-owl:location ?parent.}},dbpedia-owl,0,reserve,parent,contains,"Select the parent node, a relationship should be build upon result"
8,3,SELECT * WHERE {?residence dbpedia-owl:abstract ?abstract_en. FILTER (lang(?abstract_en) = 'en') ?residence rdfs:label ?label_en. FILTER (lang(?label_en) = 'en') OPTIONAL {?residence dbpedia-owl:abstract ?abstract_zh. FILTER (lang(?abstract_zh) = 'zh')} OPTIONAL {?residence rdfs:label ?label_zh. FILTER (lang(?label_zh) = 'zh')} OPTIONAL {?residence geo:lat ?latitude. ?residence geo:long ?longtitue.} OPTIONAL {?residence dbpedia-owl:elevation ?elevation} OPTIONAL {?residence dbpedia-owl:utcOffset ?timezone} OPTIONAL {?residence dbpedia-owl:areaTotal ?area} OPTIONAL {?residence dbpedia-owl:populationTotal ?population} OPTIONAL {?residence foaf:homepage ?homepage.} OPTIONAL {?residence foaf:isPrimaryTopicOf ?wikipage.} },dbpedia-owl;rdfs;foaf;geo,1,residence,abstract_en;label_en;abstract_zh;label_zh;latitude;longtitue;elevation;timezone;area;population;homepage;wikipage,"",Select basic attributes of a populated place
9,3,SELECT ?link WHERE{?residence dbpedia-owl:wikiPageExternalLink ?link},dbpedia-owl,1,residence,link,"",Select external links of a populated place
10,3,SELECT * WHERE {?reserve dbpedia-owl:abstract ?abstract_en. FILTER (lang(?abstract_en) = 'en') ?reserve rdfs:label ?label_en. FILTER (lang(?label_en) = 'en') OPTIONAL {?reserve dbpedia-owl:abstract ?abstract_zh. FILTER (lang(?abstract_zh) = 'zh')} OPTIONAL {?reserve rdfs:label ?label_zh. FILTER (lang(?label_zh) = 'zh')} OPTIONAL {?reserve geo:lat ?latitude. ?reserve geo:long ?longtitue.} OPTIONAL {?reserve dbpedia-owl:elevation ?elevation} OPTIONAL {?reserve dbpedia-owl:areaTotal ?area} OPTIONAL {?reserve foaf:homepage ?homepage.} OPTIONAL {?reserve foaf:isPrimaryTopicOf ?wikipage.} },dbpedia-owl;rdfs;foaf;geo,1,reserve,abstract_en;label_en;abstract_zh;label_zh;latitude;longtitue;elevation;area;homepage;wikipage,"",Select basic attributes of a reserved place
11,3,SELECT ?link WHERE{?reserve dbpedia-owl:wikiPageExternalLink ?link},dbpedia-owl,1,reserve,link,"",Select external links of a reserved place
12,4,"SELECT ?dcterms_amusement_park WHERE {?dcterms_amusement_park rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_amusement_park),""http://dbpedia.org/resource/Category:Amusement_parks"")}",rdf;skos,0,"",dcterms_amusement_park,"",Select all dcterms related POI concept
13,4,"SELECT ?dcterms_aquaria WHERE {?dcterms_aquaria rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_aquaria),""http://dbpedia.org/resource/Category:Aquaria"")}",rdf;skos,0,"",dcterms_aquaria,"",Select all dcterms related POI concept
14,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Archaeological_sites"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
15,4,"SELECT ?dcterms_beach WHERE {?dcterms_beach rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_beach),""http://dbpedia.org/resource/Category:Beaches"")}",rdf;skos,0,"",dcterms_beach,"",Select all dcterms related POI concept
16,4,"SELECT ?dcterms_garden WHERE {?dcterms_garden rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_garden),""http://dbpedia.org/resource/Category:Botanical_gardens"")}",rdf;skos,0,"",dcterms_garden,"",Select all dcterms related POI concept
17,4,"SELECT ?dcterms_religion WHERE {?dcterms_religion rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_religion),""http://dbpedia.org/resource/Category:Buddhist_temples"")}",rdf;skos,0,"",dcterms_religion,"",Select all dcterms related POI concept
18,4,"SELECT ?dcterms_canyon WHERE {?dcterms_canyon rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_canyon),""http://dbpedia.org/resource/Category:Canyons_and_gorges"")}",rdf;skos,0,"",dcterms_canyon,"",Select all dcterms related POI concept
19,4,"SELECT ?dcterms_casino WHERE {?dcterms_casino rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_casino),""http://dbpedia.org/resource/Category:Casinos"")}",rdf;skos,0,"",dcterms_casino,"",Select all dcterms related POI concept
20,4,"SELECT ?dcterms_castle WHERE {?dcterms_castle rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_castle),""http://dbpedia.org/resource/Category:Castles"")}",rdf;skos,0,"",dcterms_castle,"",Select all dcterms related POI concept
21,4,"SELECT ?dcterms_cave WHERE {?dcterms_cave rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_cave),""http://dbpedia.org/resource/Category:Caves"")}",rdf;skos,0,"",dcterms_cave,"",Select all dcterms related POI concept
22,4,"SELECT ?dcterms_cemetery WHERE {?dcterms_cemetery rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_cemetery),""http://dbpedia.org/resource/Category:Cemeteries"")}",rdf;skos,0,"",dcterms_cemetery,"",Select all dcterms related POI concept
23,4,"SELECT ?dcterms_castle WHERE {?dcterms_castle rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_castle),""http://dbpedia.org/resource/Category:Ch%C3%A2teaux"")}",rdf;skos,0,"",dcterms_castle,"",Select all dcterms related POI concept
24,4,"SELECT ?dcterms_religion WHERE {?dcterms_religion rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_religion),""http://dbpedia.org/resource/Category:Churches"")}",rdf;skos,0,"",dcterms_religion,"",Select all dcterms related POI concept
25,4,"SELECT ?dcterms_exhibition WHERE {?dcterms_exhibition rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_exhibition),""http://dbpedia.org/resource/Category:Convention_centers"")}",rdf;skos,0,"",dcterms_exhibition,"",Select all dcterms related POI concept
26,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:English_Heritage_sites"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
27,4,"SELECT ?dcterms_event WHERE {?dcterms_event rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_event),""http://dbpedia.org/resource/Category:Festivals"")}",rdf;skos,0,"",dcterms_event,"",Select all dcterms related POI concept
28,4,"SELECT ?dcterms_forest WHERE {?dcterms_forest rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_forest),""http://dbpedia.org/resource/Category:Forests_and_woodlands"")}",rdf;skos,0,"",dcterms_forest,"",Select all dcterms related POI concept
29,4,"SELECT ?dcterms_castle WHERE {?dcterms_castle rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_castle),""http://dbpedia.org/resource/Category:Forts"")}",rdf;skos,0,"",dcterms_castle,"",Select all dcterms related POI concept
30,4,"SELECT ?dcterms_garden WHERE {?dcterms_garden rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_garden),""http://dbpedia.org/resource/Category:Gardens"")}",rdf;skos,0,"",dcterms_garden,"",Select all dcterms related POI concept
31,4,"SELECT ?dcterms_golf WHERE {?dcterms_golf rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_golf),""http://dbpedia.org/resource/Category:Golf_clubs_and_courses"")}",rdf;skos,0,"",dcterms_golf,"",Select all dcterms related POI concept
32,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Hadrian's_Wall"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
33,4,"SELECT ?dcterms_monument WHERE {?dcterms_monument rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_monument),""http://dbpedia.org/resource/Category:Halls"")}",rdf;skos,0,"",dcterms_monument,"",Select all dcterms related POI concept
34,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Heritage_railroads"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
35,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Heritage_railways"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
36,4,"SELECT ?dcterms_hiking WHERE {?dcterms_hiking rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_hiking),""http://dbpedia.org/resource/Category:Hiking_trails"")}",rdf;skos,0,"",dcterms_hiking,"",Select all dcterms related POI concept
37,4,"SELECT ?dcterms_religion WHERE {?dcterms_religion rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_religion),""http://dbpedia.org/resource/Category:Hindu_temples"")}",rdf;skos,0,"",dcterms_religion,"",Select all dcterms related POI concept
38,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Historic_districts"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
39,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Historic_sites"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
40,4,"SELECT ?dcterms_hotspring WHERE {?dcterms_hotspring rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_hotspring),""http://dbpedia.org/resource/Category:Hot_springs"")}",rdf;skos,0,"",dcterms_hotspring,"",Select all dcterms related POI concept
41,4,"SELECT ?dcterms_house WHERE {?dcterms_house rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_house),""http://dbpedia.org/resource/Category:Houses"")}",rdf;skos,0,"",dcterms_house,"",Select all dcterms related POI concept
42,4,"SELECT ?dcterms_lake WHERE {?dcterms_lake rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_lake),""http://dbpedia.org/resource/Category:Lakes"")}",rdf;skos,0,"",dcterms_lake,"",Select all dcterms related POI concept
43,4,"SELECT ?dcterms_landmark WHERE {?dcterms_landmark rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_landmark),""http://dbpedia.org/resource/Category:Landmarks"")}",rdf;skos,0,"",dcterms_landmark,"",Select all dcterms related POI concept
44,4,"SELECT ?dcterms_library WHERE {?dcterms_library rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_library),""http://dbpedia.org/resource/Category:Libraries"")}",rdf;skos,0,"",dcterms_library,"",Select all dcterms related POI concept
45,4,"SELECT ?dcterms_lighthouse WHERE {?dcterms_lighthouse rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_lighthouse),""http://dbpedia.org/resource/Category:Lighthouses"")}",rdf;skos,0,"",dcterms_lighthouse,"",Select all dcterms related POI concept
46,4,"SELECT ?dcterms_religion WHERE {?dcterms_religion rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_religion),""http://dbpedia.org/resource/Category:Monasteries"")}",rdf;skos,0,"",dcterms_religion,"",Select all dcterms related POI concept
47,4,"SELECT ?dcterms_monument WHERE {?dcterms_monument rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_monument),""http://dbpedia.org/resource/Category:Monuments_and_memorials"")}",rdf;skos,0,"",dcterms_monument,"",Select all dcterms related POI concept
48,4,"SELECT ?dcterms_mountain WHERE {?dcterms_mountain rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_mountain),""http://dbpedia.org/resource/Category:Mountains"")}",rdf;skos,0,"",dcterms_mountain,"",Select all dcterms related POI concept
49,4,"SELECT ?dcterms_museum WHERE {?dcterms_museum rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_museum),""http://dbpedia.org/resource/Category:Museums"")}",rdf;skos,0,"",dcterms_museum,"",Select all dcterms related POI concept
50,4,"SELECT ?dcterms_music WHERE {?dcterms_music rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_music),""http://dbpedia.org/resource/Category:Music_venues"")}",rdf;skos,0,"",dcterms_music,"",Select all dcterms related POI concept
51,4,"SELECT ?dcterms_monument WHERE {?dcterms_monument rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_monument),""http://dbpedia.org/resource/Category:National_Monuments"")}",rdf;skos,0,"",dcterms_monument,"",Select all dcterms related POI concept
52,4,"SELECT ?dcterms_reserve WHERE {?dcterms_reserve rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_reserve),""http://dbpedia.org/resource/Category:National_parks"")}",rdf;skos,0,"",dcterms_reserve,"",Select all dcterms related POI concept
53,4,"SELECT ?dcterms_reserve WHERE {?dcterms_reserve rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_reserve),""http://dbpedia.org/resource/Category:National_Trust_properties"")}",rdf;skos,0,"",dcterms_reserve,"",Select all dcterms related POI concept
54,4,"SELECT ?dcterms_reserve WHERE {?dcterms_reserve rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_reserve),""http://dbpedia.org/resource/Category:Nature_reserves"")}",rdf;skos,0,"",dcterms_reserve,"",Select all dcterms related POI concept
55,4,"SELECT ?dcterms_reserve WHERE {?dcterms_reserve rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_reserve),""http://dbpedia.org/resource/Category:Nightclubs"")}",rdf;skos,0,"",dcterms_nightclub,"",Select all dcterms related POI concept
56,4,"SELECT ?dcterms_art WHERE {?dcterms_art rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_art),""http://dbpedia.org/resource/Category:Outdoor_sculptures"")}",rdf;skos,0,"",dcterms_art,"",Select all dcterms related POI concept
57,4,"SELECT ?dcterms_palace WHERE {?dcterms_palace rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_palace),""http://dbpedia.org/resource/Category:Palaces"")}",rdf;skos,0,"",dcterms_palace,"",Select all dcterms related POI concept
58,4,"SELECT ?dcterms_park WHERE {?dcterms_park rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_park),""http://dbpedia.org/resource/Category:Parks"")}",rdf;skos,0,"",dcterms_park,"",Select all dcterms related POI concept
59,4,"SELECT ?dcterms_park WHERE {?dcterms_park rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_park),""http://dbpedia.org/resource/Category:Parks_and_gardens"")}",rdf;skos,0,"",dcterms_park,"",Select all dcterms related POI concept
60,4,"SELECT ?dcterms_park WHERE {?dcterms_park rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_park),""http://dbpedia.org/resource/Category:Parks_and_open_spaces"")}",rdf;skos,0,"",dcterms_park,"",Select all dcterms related POI concept
61,4,"SELECT ?dcterms_religion WHERE {?dcterms_religion rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_religion),""http://dbpedia.org/resource/Category:Places_of_worship"")}",rdf;skos,0,"",dcterms_religion,"",Select all dcterms related POI concept
62,4,"SELECT ?dcterms_reserve WHERE {?dcterms_reserve rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_reserve),""http://dbpedia.org/resource/Category:Protected_areas"")}",rdf;skos,0,"",dcterms_reserve,"",Select all dcterms related POI concept
63,4,"SELECT ?dcterms_house WHERE {?dcterms_house rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_house),""http://dbpedia.org/resource/Category:Public_houses"")}",rdf;skos,0,"",dcterms_house,"",Select all dcterms related POI concept
64,4,"SELECT ?dcterms_resort WHERE {?dcterms_resort rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_resort),""http://dbpedia.org/resource/Category:Resorts"")}",rdf;skos,0,"",dcterms_resort,"",Select all dcterms related POI concept
65,4,"SELECT ?dcterms_reataurant WHERE {?dcterms_reataurant rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_reataurant),""http://dbpedia.org/resource/Category:Restaurants"")}",rdf;skos,0,"",dcterms_reataurant,"",Select all dcterms related POI concept
66,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Rijksmonuments"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
67,4,"SELECT ?dcterms_river WHERE {?dcterms_river rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_river),""http://dbpedia.org/resource/Category:Rivers"")}",rdf;skos,0,"",dcterms_river,"",Select all dcterms related POI concept
68,4,"SELECT ?dcterms_amusement_park WHERE {?dcterms_amusement_park rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_amusement_park),""http://dbpedia.org/resource/Category:Roller_coasters"")}",rdf;skos,0,"",dcterms_amusement_park,"",Select all dcterms related POI concept
69,4,"SELECT ?dcterms_royal WHERE {?dcterms_royal rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_royal),""http://dbpedia.org/resource/Category:Royal_residences"")}",rdf;skos,0,"",dcterms_royal,"",Select all dcterms related POI concept
70,4,"SELECT ?dcterms_heritage WHERE {?dcterms_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_heritage),""http://dbpedia.org/resource/Category:Ruins"")}",rdf;skos,0,"",dcterms_heritage,"",Select all dcterms related POI concept
71,4,"SELECT ?dcterms_wineary WHERE {?dcterms_wineary rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_wineary),""http://dbpedia.org/resource/Category:Santa_Cruz_Mountains_wineries"")}",rdf;skos,0,"",dcterms_wineary,"",Select all dcterms related POI concept
72,4,"SELECT ?dcterms_shopping WHERE {?dcterms_shopping rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_shopping),""http://dbpedia.org/resource/Category:Shopping_centres"")}",rdf;skos,0,"",dcterms_shopping,"",Select all dcterms related POI concept
73,4,"SELECT ?dcterms_shopping WHERE {?dcterms_shopping rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_shopping),""http://dbpedia.org/resource/Category:Shopping_malls"")}",rdf;skos,0,"",dcterms_shopping,"",Select all dcterms related POI concept
74,4,"SELECT ?dcterms_cave WHERE {?dcterms_cave rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_cave),""http://dbpedia.org/resource/Category:Show_caves"")}",rdf;skos,0,"",dcterms_cave,"",Select all dcterms related POI concept
75,4,"SELECT ?dcterms_ski WHERE {?dcterms_ski rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_ski),""http://dbpedia.org/resource/Category:Ski_areas_and_resorts"")}",rdf;skos,0,"",dcterms_ski,"",Select all dcterms related POI concept
77,4,"SELECT ?dcterms_sport WHERE {?dcterms_sport rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_sport),""http://dbpedia.org/resource/Category:Sports_venues"")}",rdf;skos,0,"",dcterms_sport,"",Select all dcterms related POI concept
78,4,"SELECT ?dcterms_square WHERE {?dcterms_square rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_square),""http://dbpedia.org/resource/Category:Squares"")}",rdf;skos,0,"",dcterms_square,"",Select all dcterms related POI concept
79,4,"SELECT ?dcterms_theatres WHERE {?dcterms_theatres rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_theatres),""http://dbpedia.org/resource/Category:Theatres"")}",rdf;skos,0,"",dcterms_theatres,"",Select all dcterms related POI concept
80,4,"SELECT ?dcterms_tower WHERE {?dcterms_tower rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_tower),""http://dbpedia.org/resource/Category:Towers"")}",rdf;skos,0,"",dcterms_tower,"",Select all dcterms related POI concept
82,4,"SELECT ?dcterms_valley WHERE {?dcterms_valley rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_valley),""http://dbpedia.org/resource/Category:Valleys"")}",rdf;skos,0,"",dcterms_valley,"",Select all dcterms related POI concept
83,4,"SELECT ?dcterms_attraction WHERE {?dcterms_attraction rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_attraction),""http://dbpedia.org/resource/Category:Visitor_attractions"")}",rdf;skos,0,"",dcterms_attraction,"",Select all dcterms related POI concept
84,4,"SELECT ?dcterms_waterfall WHERE {?dcterms_waterfall rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_waterfall),""http://dbpedia.org/resource/Category:Waterfalls"")}",rdf;skos,0,"",dcterms_waterfall,"",Select all dcterms related POI concept
85,4,"SELECT ?dcterms_windmills WHERE {?dcterms_windmills rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_windmills),""http://dbpedia.org/resource/Category:Windmills"")}",rdf;skos,0,"",dcterms_windmills,"",Select all dcterms related POI concept
86,4,"SELECT ?dcterms_world_heritage WHERE {?dcterms_world_heritage rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_world_heritage),""http://dbpedia.org/resource/Category:World_Heritage_Sites"")}",rdf;skos,0,"",dcterms_world_heritage,"",Select all dcterms related POI concept
87,4,"SELECT ?dcterms_event WHERE {?dcterms_event rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_event),""http://dbpedia.org/resource/Category:World's_Fairs"")}",rdf;skos,0,"",dcterms_event,"",Select all dcterms related POI concept
88,4,"SELECT ?dcterms_zoo WHERE {?dcterms_zoo rdf:type skos:Concept. FILTER STRSTARTS(STR(?dcterms_zoo),""http://dbpedia.org/resource/Category:Zoos"")}",rdf;skos,0,"",dcterms_zoo,"",Select all dcterms related POI concept
